stream,interests,tenth_pct,twelfth_pct,grad_pct,target_career
Arts,"Design,AI",95.59494014246111,,,UI/UX Designer
Commerce,"Business,Data",82.72838444,74.71078111004613,,Business Analyst
Arts,"Business,Data",70.90012343053267,81.95829839852195,,Software Developer
Commerce,AI,70.6825222,66.42125442125234,,Software Developer
Engineering,"Healthcare,Data",80.17388170444721,86.42194744507987,86.85621607775201,Software Developer
Science,"AI,Marketing",59.78128904300548,,,AI Researcher
Science,"Marketing,Data",89.24585696402501,84.08709185350872,87.16771527,Software Developer
Commerce,"Coding,Law",87.24024867728637,90.42101722095526,,Software Developer
Arts,"Marketing,AI",76.91891369167753,,,Content Strategist
Arts,Marketing,89.54323024704091,85.90392244070974,85.92189875,Content Strategist
Arts,"Healthcare,Healthcare",91.23386895714573,93.26490834134529,97.06221881484173,Software Developer
Science,"Data,Data",73.10855332551004,,,Data Scientist
Arts,"Finance,AI",74.19546795110965,,73.58790332666904,Software Developer
Arts,"Coding,Marketing",86.81919648780735,82.67900833016994,97.14300190468212,Software Developer
Commerce,"Coding,Healthcare",64.74880003386485,,68.33196858832578,Software Developer
Engineering,"Coding,Data",89.01643148695514,95.40013159838668,96.98991919108349,Backend Developer
Commerce,"Data,Finance",76.48072280538041,,,Software Developer
Engineering,Coding,79.77625982256217,83.52983350235394,91.84949880200651,Backend Developer
Engineering,"Coding,Law",82.70568712,73.63059977688349,,Backend Developer
Arts,"Coding,AI",90.06506799012288,,,Software Developer
Commerce,"Finance,Healthcare",70.09427383606312,69.68670558323088,,Finance Analyst
Science,Marketing,80.53602210371973,79.65256534494068,81.59240785920605,Software Developer
Commerce,Finance,75.98416661930588,74.20203876240438,,Finance Analyst
Commerce,Design,76.39250878465569,69.33432997083298,67.05229512184316,Software Developer
Science,"Business,Data",62.11369858100299,65.46955244231705,,Software Developer
Engineering,"Business,Law",80.60622674248023,77.87845997121853,,Software Developer
Engineering,"Business,Business",73.30353067641995,75.64543506665143,74.54160666526727,Software Developer
Science,"Design,Law",85.99370679925455,87.77431311339933,88.89876942474706,Software Developer
Science,Coding,90.22978725057227,,,Software Developer
Commerce,Data,69.08468303119068,71.82477350994377,,Software Developer
Engineering,Coding,93.79385673913782,92.87593317112253,100.19593918486349,Backend Developer
Science,"Design,Business",87.12650732407707,,86.71004488845422,Software Developer
Engineering,Business,64.23405441305803,63.96148788688805,57.46420305453142,Software Developer
Science,"Data,Business",95.78311814,98.62031227841794,,Data Scientist
Commerce,"Coding,Law",83.97707482282742,85.67072916387522,75.07939347657896,Software Developer
Arts,Coding,63.81816292362389,,,Software Developer
